jammer,jsr_db,target_position,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,10.0,2500,offset_-4,20,20,0,16.49232740329559,0.4231525135859675,0.18545476590471283,-4.868838735280629,-4.868838735280628,1.0,4.0,275.4,0.666682934599194,1.7948367812882602,0.019149945001117885,400000000.0
AMNoiseGaiJam,10.0,2500,offset_-8,20,20,0,15.597575411064819,0.4231525135859075,0.1854547659046865,-24.770152693200416,-24.770152693200412,1.0,8.0,271.3,0.9742128263857623,1.3611162698384054,0.019137447816319764,400000000.0
AMNoiseGaiJam,10.0,2500,random,20,20,14,-219.95589098684658,147.2010269982252,72.12850322913035,-100.81109946924312,-112.95789962239262,0.2,1458.7,177.6,1.0015488782622486,1.4033412024859502,0.018747698049992323,400000000.0
AMNoiseGaiJam,10.0,2500,true,20,20,0,16.642896556900062,0.4231525135859692,0.18545476590471355,-8.685846209726872e-05,-8.685846209726874e-05,1.0,0.0,269.95,0.0,0.0,0.020475048222579062,400000000.0
AMNoiseGaiJam,10.0,3750,fixed_0,20,20,20,nan,0.0,0.0,nan,nan,0.0,3750.0,0.0,0.9999999999999719,1.4142135623730503,0.019158347276970744,400000000.0
AMNoiseGaiJam,10.0,3750,missing,20,20,20,nan,0.0,0.0,nan,nan,0.0,3750.0,0.0,0.9999999999999719,1.4142135623730503,0.019054199219681323,400000000.0
AMNoiseGaiJam,10.0,3750,offset_+1,20,20,0,16.626196109828403,0.42466841033121305,0.1861191369458838,-0.3035923747676373,-0.30359237476763723,1.0,1.0,53.3,0.19191986121370347,1.7761505289286288,0.018727104179561138,400000000.0
AMNoiseGaiJam,10.0,3750,offset_+16,20,20,0,5.810394355147375,0.4246684103310463,0.1861191369458107,-28.529718531976492,-28.529718531976492,0.0,16.0,52.4,0.9937810889397373,1.298350632869114,0.01874779991339892,400000000.0
AMNoiseGaiJam,10.0,3750,offset_+2,20,20,0,16.62233056385626,0.42466841033121594,0.18611913694588506,-1.188619231516971,-1.1886192315169712,1.0,2.0,52.7,0.37158702654673065,1.6057022577815663,0.01862084900494665,400000000.0
AMNoiseGaiJam,10.0,3750,offset_+32,20,20,0,-14.470731256032698,0.42466841033121944,0.1861191369458866,-60.90086154434167,-60.90086154434165,0.0,32.0,47.45,1.0117900880073827,1.4209607876364,0.01902705116663128,400000000.0
AMNoiseGaiJam,10.0,3750,offset_+4,20,20,0,16.472871968807027,0.4246684103312141,0.18611913694588428,-4.868838735280629,-4.868838735280628,1.0,4.0,55.0,0.6827962113243444,1.7948367812882602,0.01877715694718063,400000000.0
AMNoiseGaiJam,10.0,3750,offset_+8,20,20,0,15.578119976572998,0.42466841033076036,0.18611913694568538,-24.770152693200423,-24.77015269320042,1.0,8.0,52.9,1.0034326806402452,1.3611162698384054,0.01890004496090114,400000000.0
AMNoiseGaiJam,10.0,3750,offset_-1,20,20,0,16.626196109828406,0.4246684103312151,0.1861191369458847,-0.30359237476763823,-0.30359237476763823,1.0,1.0,54.45,0.1908040014124452,1.7761505289286288,0.018816592637449503,400000000.0
AMNoiseGaiJam,10.0,3750,offset_-16,20,20,0,5.810394355147524,0.4246684103311819,0.18611913694587015,-28.5297185319765,-28.529718531976496,0.0,16.0,56.95,0.9925410890948324,1.298350632869114,0.018820763216353953,400000000.0
AMNoiseGaiJam,10.0,3750,offset_-2,20,20,0,16.622330563856266,0.42466841033121583,0.186119136945885,-1.188619231516971,-1.1886192315169712,1.0,2.0,54.15,0.36702552511711356,1.6057022577815663,0.01884800149127841,400000000.0
